"","p.value","HR","Low 95%CI","High 95%CI"
"BRCA1",0.0069154607359623,1.22765230900663,1.05787828576957,1.42467258481719
"BRCA2",0.0196378790646565,1.26248316254721,1.03798873445688,1.53553086156487
"PALB2",0.154364681124821,1.23267007830781,0.92434041831885,1.64384840459421
"ARID1A",0.962632165808395,0.995312922995993,0.817716867443028,1.21148022515488
"ARID1B",0.973314006688957,1.00409658431888,0.790222657828462,1.27585553344092
"ARID2",0.67193249344793,0.950240278566825,0.750318401928331,1.20343121625452
"ATR",0.436519437417475,1.09827825339574,0.867280237363935,1.39080203827571
"ATRX",0.562197134272817,0.940174234586888,0.763145343200618,1.15826899719241
"ATM",0.522023508052492,0.933614937371227,0.756555963759132,1.15211153310026
"BAP1",0.939845601083805,1.01126728306393,0.755938310964249,1.35283726590206
"RAD50",0.2048445532629,1.16019209531643,0.922093441237304,1.45977146982906
"RAD51C",0.945242485670665,1.01118320506969,0.736210729243175,1.38885706714181
"RAD51D",0.193467210257567,1.22864328841296,0.900828573800962,1.67575094092846
"BRIP1",0.00411765137955236,1.27173579090504,1.07914062364369,1.49870358545864
"NBN",0.00076567173709898,1.43706001497953,1.16345720426316,1.77500425377558
"CHEK1",7.3817322225768e-05,1.33248237844227,1.15616028487284,1.53569475797591
"CHEK2",0.725282960997271,1.03056797497592,0.871248426149866,1.21902125635896
"FANCA",0.0249669831423035,1.22236636686385,1.02557325899031,1.45692130887945
"FANCC",0.043616641127252,1.27546666378708,1.00699326174696,1.61551747388051
"CDK12",0.373470427257751,1.10133189428293,0.89044020527722,1.36217113083658
"MRE11",0.310809738496782,1.14198281522165,0.883398992401346,1.47625791004874
"BARD1",0.0975433234761123,1.17630197893019,0.970734534986002,1.42540137984792
"RAD51B",0.720217831711712,0.949400124632501,0.714574203732201,1.26139537635759
"FAAP20",0.895090507659878,0.982589530430926,0.756826966903384,1.27569738861554
"FAN1",0.622397901136219,0.937681477324613,0.725831673258752,1.2113642671036
"FANCE",0.136795571973374,1.15346359914564,0.955705973665546,1.39214184196323
"FANCM",0.463705003920975,1.09525582908982,0.858658525435606,1.39704585189633
"POLQ",0.0136871983096153,1.21510700360543,1.04074933952979,1.41867496248237
"HDAC2",0.012093491932035,1.34050341881105,1.06626618405987,1.68527281715165
"FANCI",0.000219420859242912,1.33222420039843,1.14421216460704,1.55112956759795
"RAD54L",0.0150535958300266,1.17484905705369,1.03172013097712,1.337834036012
"BLM",0.00071628072960167,1.32542234378676,1.12583090675304,1.56039808364804
"RAD51",0.000116295265827523,1.33183029349243,1.15121606326995,1.5407810812037
"RTEL1",0.15307669474069,0.752090277043667,0.508787542884499,1.11174063267509
"BABAM1",0.984970920940514,0.997131231314407,0.739494080269866,1.34452826464783
"BRCC3",0.222919794524886,1.17048122746528,0.908713531440105,1.50765478497656
"EME1",0.00969039960994824,1.22550276389207,1.05050336528598,1.4296546531274
"EME2",0.551468559126087,0.951247636528461,0.806972597617064,1.12131696748193
"EXO1",3.92981913731135e-06,1.33126239851167,1.17893615323793,1.50327018882538
"GEN1",0.0866909627199104,1.2020324572284,0.973833492151175,1.48370541768782
"H2AFX",1.18825357618007e-05,1.48058786433312,1.24212003699913,1.76483782461683
"MDC1",0.861237217176148,0.982723462335736,0.808288626886528,1.19480266244141
"MUS81",0.171770299376494,1.23496840214016,0.912426619062245,1.6715283425774
"RAD51AP1",0.00684139656468417,1.19215081176808,1.04957372887134,1.3540959714451
"RAD52",0.675142730565175,1.05181692194812,0.830490923051649,1.33212634429674
"RAD54B",0.018512887762837,1.33517829701958,1.04970469371955,1.6982881904769
"RBBP8",0.635709242545226,0.953097451833257,0.781299899698337,1.16267102176998
"REV1",0.0306013128974059,0.764201642110067,0.598881239008445,0.97515853188296
"RPA1",0.0678798973321464,1.27372370328684,0.982378917490168,1.65147281097976
"RPA2",0.543050267754286,0.921993042719564,0.709678214486226,1.19782621682799
"SLX1A",0.669965491967583,0.698008373672275,0.133602762401362,3.64674862225489
"SLX1B",0.690055317641869,1.28022007478927,0.380181816934468,4.31099901912447
"SLX4",0.400232168771479,1.10560764851033,0.875010144713659,1.39697611488214
"TP53BP1",0.768490780838908,1.03048529207908,0.84372581911337,1.25858414325545
"UIMC1",0.514353983736792,1.11295083190776,0.806828358855252,1.53522064593964
"XRCC2",0.0117555247594829,1.20015900378638,1.04134601324392,1.38319215328107
"XRCC3",0.221524443994001,1.14373988639114,0.922174970200709,1.41853874806135
"ABL1",0.0131131176460896,1.36169347490448,1.06695107947783,1.73785767244821
"ATRIP",0.0481182427592142,0.268037673268378,0.0726314468582232,0.989160995668525
"DMC1",0.0477526935616269,1.28260802656583,1.00246722922681,1.64103454142826
"DNA2",0.0651514651578041,1.15490935547905,0.991001643460306,1.34592674812902
"DNMT3A",0.458472360014425,1.0769586415126,0.885265768509382,1.31016013132599
"ERCC4",0.916017742801505,0.98548539251095,0.750982513674489,1.29321447725934
"FANCB",0.0361234196326744,1.26309033573017,1.015225081151,1.57147141637418
"FANCD2",0.00249866297145746,1.34878486066654,1.11098523091913,1.63748405445336
"FANCF",0.230934276250272,1.19181406537359,0.894384958554291,1.58815368353056
"FANCG",0.0925233472729257,1.18635375559957,0.972181986182689,1.44770758297173
"FANCL",0.00906914706505954,1.38223220028858,1.08390130432375,1.76267511432383
"FEN1",8.88896301021082e-05,1.40173101071354,1.1839036821468,1.65963655323133
"FIGNL1",0.0497867368681043,1.18470296103517,1.00015792344103,1.40329949200092
"HELQ",0.192040950359962,0.798353545952811,0.569186407902317,1.11978848315157
"KAT5",0.354937549346159,1.15806516670093,0.84859092351767,1.58040216217104
"NONO",0.496757048762223,1.09593531578443,0.841483375736187,1.42732970254194
"PARP1",0.0340993726054097,1.2762008066492,1.01846146977607,1.59916555237987
"PIAS1",0.716659164350349,0.952312432759147,0.731441108003011,1.23987968363396
"PIAS4",0.358956208976035,1.14325948328224,0.858848009059299,1.52185512724933
"POLN",0.903465289085759,0.973584150550521,0.631668695911093,1.50057475435919
"RAD1",0.25809561148815,0.872051875575353,0.687854358650795,1.10557484172396
"RAD17",0.536785486046906,0.912827969906989,0.683437967547075,1.21921072900756
"RAD9A",0.574368909677736,0.941875515859984,0.764251747339743,1.160781758713
"RECQL",0.0448172178174925,1.19952570907212,1.00421633951183,1.43282066832773
"RECQL4",0.0481406305859237,1.13549142236346,1.0010396939882,1.28800164269629
"RIF1",0.0860914862895392,1.20098296542168,0.974344738531011,1.48033855594854
"RMI1",0.108726903314487,1.20257172090543,0.959882329659467,1.50662086303278
"RMI2",0.0479033163308963,1.17467261782697,1.00148720991746,1.37780667132652
"RNF168",0.0582199257126054,1.21883693358838,0.993135477520329,1.49583164060184
"RNF169",0.948625083262693,1.00632679880114,0.830657198823517,1.21914747433676
"RNF4",0.014522391968145,1.46711083364766,1.07887771598647,1.99504926861732
"RPA3",0.0513701686799974,1.23091867471395,0.998764943260659,1.51703440732812
"SETMAR",0.355297022782721,0.876959409863386,0.663860308725332,1.15846330386071
"SFPQ",0.376384195013232,1.13815974584369,0.854424077757131,1.51611786322717
"SFR1",0.106776417683416,1.210174438801,0.959775897152976,1.52590013634599
"SMC1A",0.058973715304559,1.21226509088733,0.992730668239573,1.48034778978886
"SMC3",0.0964767107441074,1.18695399811094,0.969761558346062,1.45278989614146
"SMC5",0.926865646481487,0.989773830249095,0.794723093193829,1.23269632333061
"SPIDR",0.266218127947768,0.876941175234189,0.695722108787679,1.10536349945983
"TIMELESS",0.00694417599708487,1.23603970958487,1.05977285545198,1.44162417051064
"TIPIN",0.0041293416005734,1.45067063484501,1.12501520150446,1.87059275997994
"TOPBP1",0.153789588844653,1.14368394359401,0.951004806783097,1.37540100061036
"USP1",0.0242625255563193,1.27869884606468,1.03248698875374,1.5836235775724
"USP11",0.510472627950509,1.07665124188155,0.864069969565238,1.34153244236497
"WRN",0.686550576779934,1.04921461215937,0.830860223660815,1.32495366972597
